,Entity,Code,Year,Continent,Entity3,Year3,world-regions-according-to-the-united-nations,Entity2,Year2,WHO region,Entity1,Year1,World Region according to the World Bank
122,Jamaica,JAM,2015.0,North America,Jamaica,2021.0,Latin America and Caribbean,Jamaica,2020.0,Americas,Jamaica,2017.0,Latin America and Caribbean
123,Japan,JPN,2015.0,Asia,Japan,2021.0,Eastern and South-Eastern Asia,Japan,2020.0,Western Pacific,Japan,2017.0,East Asia and Pacific
124,Jersey,JEY,2015.0,Europe,,,,,,,,,
125,Jordan,JOR,2015.0,Asia,Jordan,2021.0,Northern Africa and Western Asia,Jordan,2020.0,Eastern Mediterranean,Jordan,2017.0,Middle East and North Africa
126,Kazakhstan,KAZ,2015.0,Asia,Kazakhstan,2021.0,Central and Southern Asia,Kazakhstan,2020.0,Europe,Kazakhstan,2017.0,Europe and Central Asia
127,Kenya,KEN,2015.0,Africa,Kenya,2021.0,Sub-Saharan Africa,Kenya,2020.0,Africa,Kenya,2017.0,Sub-Saharan Africa
128,Kiribati,KIR,2015.0,Oceania,Kiribati,2021.0,Oceania,Kiribati,2020.0,Western Pacific,Kiribati,2017.0,East Asia and Pacific
129,Kosovo,OWID_KOS,2015.0,Europe,Kosovo,2021.0,Europe and Northern America,,,,Kosovo,2017.0,Europe and Central Asia
130,Kuwait,KWT,2015.0,Asia,Kuwait,2021.0,Northern Africa and Western Asia,Kuwait,2020.0,Eastern Mediterranean,Kuwait,2017.0,Middle East and North Africa
131,Kyrgyzstan,KGZ,2015.0,Asia,Kyrgyzstan,2021.0,Central and Southern Asia,Kyrgyzstan,2020.0,Europe,Kyrgyzstan,2017.0,Europe and Central Asia
132,Laos,LAO,2015.0,Asia,Laos,2021.0,Eastern and South-Eastern Asia,Laos,2020.0,Western Pacific,Laos,2017.0,East Asia and Pacific
133,Latvia,LVA,2015.0,Europe,Latvia,2021.0,Europe and Northern America,Latvia,2020.0,Europe,Latvia,2017.0,Europe and Central Asia
134,Lebanon,LBN,2015.0,Asia,Lebanon,2021.0,Northern Africa and Western Asia,Lebanon,2020.0,Eastern Mediterranean,Lebanon,2017.0,Middle East and North Africa
135,Lesotho,LSO,2015.0,Africa,Lesotho,2021.0,Sub-Saharan Africa,Lesotho,2020.0,Africa,Lesotho,2017.0,Sub-Saharan Africa
136,Liberia,LBR,2015.0,Africa,Liberia,2021.0,Sub-Saharan Africa,Liberia,2020.0,Africa,Liberia,2017.0,Sub-Saharan Africa
137,Libya,LBY,2015.0,Africa,Libya,2021.0,Northern Africa and Western Asia,Libya,2020.0,Eastern Mediterranean,Libya,2017.0,Middle East and North Africa
138,Liechtenstein,LIE,2015.0,Europe,Liechtenstein,2021.0,Europe and Northern America,,,,Liechtenstein,2017.0,Europe and Central Asia
139,Lithuania,LTU,2015.0,Europe,Lithuania,2021.0,Europe and Northern America,Lithuania,2020.0,Europe,Lithuania,2017.0,Europe and Central Asia
140,Luxembourg,LUX,2015.0,Europe,Luxembourg,2021.0,Europe and Northern America,Luxembourg,2020.0,Europe,Luxembourg,2017.0,Europe and Central Asia
141,Macao,MAC,2015.0,Asia,Macao,2021.0,Eastern and South-Eastern Asia,,,,Macao,2017.0,East Asia and Pacific
142,Madagascar,MDG,2015.0,Africa,Madagascar,2021.0,Sub-Saharan Africa,Madagascar,2020.0,Africa,Madagascar,2017.0,Sub-Saharan Africa
143,Malawi,MWI,2015.0,Africa,Malawi,2021.0,Sub-Saharan Africa,Malawi,2020.0,Africa,Malawi,2017.0,Sub-Saharan Africa
144,Malaysia,MYS,2015.0,Asia,Malaysia,2021.0,Eastern and South-Eastern Asia,Malaysia,2020.0,Western Pacific,Malaysia,2017.0,East Asia and Pacific
145,Maldives,MDV,2015.0,Asia,Maldives,2021.0,Central and Southern Asia,Maldives,2020.0,South-East Asia,Maldives,2017.0,South Asia
146,Mali,MLI,2015.0,Africa,Mali,2021.0,Sub-Saharan Africa,Mali,2020.0,Africa,Mali,2017.0,Sub-Saharan Africa
147,Malta,MLT,2015.0,Europe,Malta,2021.0,Europe and Northern America,Malta,2020.0,Europe,Malta,2017.0,Middle East and North Africa
