,StateCode,Year,MSN,Data
581,NE,2001,Solar,13.0
582,NE,2002,Solar,12.0
583,NE,2003,Solar,12.0
584,NE,2004,Solar,11.0
585,NE,2005,Solar,15.0
586,NE,2006,Solar,20.0
587,NE,2007,Solar,23.0
588,NE,2008,Solar,25.0
589,NE,2009,Solar,25.0
590,NE,2010,Solar,28.0
591,NE,2011,Solar,31.0
592,NE,2012,Solar,33.0
593,NE,2013,Solar,37.0
594,NE,2014,Solar,38.0
595,NE,2015,Solar,41.0
596,NE,2016,Solar,90.0
597,NE,2017,Solar,220.0
598,NE,2018,Solar,373.0
599,NE,2019,Solar,446.0
600,NH,2000,Solar,34.0
601,NH,2001,Solar,31.0
602,NH,2002,Solar,28.0
603,NH,2003,Solar,25.0
604,NH,2004,Solar,36.0
605,NH,2005,Solar,40.0
606,NH,2006,Solar,46.0
607,NH,2007,Solar,52.0
608,NH,2008,Solar,60.0
609,NH,2009,Solar,68.0
610,NH,2010,Solar,83.0
611,NH,2011,Solar,96.0
612,NH,2012,Solar,126.0
613,NH,2013,Solar,169.0
614,NH,2014,Solar,206.0
615,NH,2015,Solar,292.0
616,NH,2016,Solar,547.0
617,NH,2017,Solar,875.0
618,NH,2018,Solar,1056.0
619,NH,2019,Solar,1229.0
620,NJ,2000,Solar,643.0
621,NJ,2001,Solar,669.0
622,NJ,2002,Solar,954.0
623,NJ,2003,Solar,1205.0
624,NJ,2004,Solar,1411.0
625,NJ,2005,Solar,1629.0
626,NJ,2006,Solar,1926.0
627,NJ,2007,Solar,2241.0
628,NJ,2008,Solar,2631.0
629,NJ,2009,Solar,3350.0
630,NJ,2010,Solar,4910.0
631,NJ,2011,Solar,7854.0
632,NJ,2012,Solar,14103.0
633,NJ,2013,Solar,16749.0
634,NJ,2014,Solar,19679.0
635,NJ,2015,Solar,20966.0
636,NJ,2016,Solar,22261.0
637,NJ,2017,Solar,25630.0
638,NJ,2018,Solar,28230.0
639,NJ,2019,Solar,31706.0
640,NM,2000,Solar,430.0
641,NM,2001,Solar,371.0
642,NM,2002,Solar,327.0
643,NM,2003,Solar,286.0
644,NM,2004,Solar,239.0
645,NM,2005,Solar,177.0
646,NM,2006,Solar,174.0
647,NM,2007,Solar,165.0
648,NM,2008,Solar,185.0
649,NM,2009,Solar,208.0
650,NM,2010,Solar,383.0
651,NM,2011,Solar,1712.0
652,NM,2012,Solar,3869.0
653,NM,2013,Solar,4715.0
654,NM,2014,Solar,6234.0
655,NM,2015,Solar,7257.0
656,NM,2016,Solar,8591.0
657,NM,2017,Solar,13076.0
658,NM,2018,Solar,14764.0
659,NM,2019,Solar,15047.0
660,NV,2000,Solar,478.0
661,NV,2001,Solar,539.0
662,NV,2002,Solar,574.0
663,NV,2003,Solar,590.0
664,NV,2004,Solar,607.0
665,NV,2005,Solar,706.0
666,NV,2006,Solar,801.0
667,NV,2007,Solar,1484.0
668,NV,2008,Solar,2649.0
669,NV,2009,Solar,2837.0
670,NV,2010,Solar,3376.0
671,NV,2011,Solar,4257.0
672,NV,2012,Solar,6079.0
673,NV,2013,Solar,8780.0
674,NV,2014,Solar,11650.0
675,NV,2015,Solar,18216.0
676,NV,2016,Solar,33324.0
677,NV,2017,Solar,43060.0
678,NV,2018,Solar,48548.0
679,NV,2019,Solar,49970.0
680,NY,2000,Solar,553.0
681,NY,2001,Solar,555.0
682,NY,2002,Solar,570.0
683,NY,2003,Solar,585.0
684,NY,2004,Solar,680.0
685,NY,2005,Solar,849.0
686,NY,2006,Solar,1025.0
687,NY,2007,Solar,1160.0
688,NY,2008,Solar,1348.0
689,NY,2009,Solar,1475.0
690,NY,2010,Solar,1735.0
691,NY,2011,Solar,2134.0
692,NY,2012,Solar,3231.0
693,NY,2013,Solar,3860.0
694,NY,2014,Solar,5296.0
695,NY,2015,Solar,7729.0
696,NY,2016,Solar,10674.0
697,NY,2017,Solar,13919.0
698,NY,2018,Solar,17686.0
699,NY,2019,Solar,22510.0
700,OH,2000,Solar,100.0
701,OH,2001,Solar,100.0
702,OH,2002,Solar,119.0
703,OH,2003,Solar,130.0
704,OH,2004,Solar,148.0
705,OH,2005,Solar,160.0
706,OH,2006,Solar,170.0
707,OH,2007,Solar,176.0
708,OH,2008,Solar,202.0
709,OH,2009,Solar,249.0
710,OH,2010,Solar,438.0
711,OH,2011,Solar,564.0
712,OH,2012,Solar,1176.0
713,OH,2013,Solar,1345.0
714,OH,2014,Solar,1566.0
715,OH,2015,Solar,1678.0
716,OH,2016,Solar,1874.0
717,OH,2017,Solar,2435.0
718,OH,2018,Solar,2755.0
719,OH,2019,Solar,3269.0
720,OK,2000,Solar,63.0
721,OK,2001,Solar,53.0
722,OK,2002,Solar,44.0
723,OK,2003,Solar,35.0
724,OK,2004,Solar,27.0
725,OK,2005,Solar,21.0
726,OK,2006,Solar,20.0
727,OK,2007,Solar,22.0
728,OK,2008,Solar,24.0
729,OK,2009,Solar,25.0
730,OK,2010,Solar,26.0
731,OK,2011,Solar,31.0
732,OK,2012,Solar,36.0
733,OK,2013,Solar,48.0
734,OK,2014,Solar,49.0
735,OK,2015,Solar,71.0
